,place_name,공원,관광명소,교통,쇼핑,숙소,술집,음식점,주차시설,카페,화장실,review
0,1.21 무장공비 침투로,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,5.18 민주광장,7.0,3.0,25.0,225.0,167.0,207.0,270.0,130.0,222.0,8.0,0
2,DMZ 생태평화공원,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40
3,각원사,1.0,1.0,20.0,106.0,5.0,12.0,98.0,0.0,53.0,3.0,644
4,간월암,0.0,2.0,48.0,12.0,6.0,0.0,23.0,1.0,6.0,2.0,349
5,갈매못순교성지,0.0,0.0,20.0,46.0,14.0,3.0,43.0,0.0,3.0,1.0,128
6,감곡매괴성모순례지성당,1.0,0.0,20.0,240.0,9.0,35.0,241.0,2.0,57.0,4.0,268
7,갑곶돈대,2.0,0.0,8.0,114.0,10.0,5.0,85.0,2.0,18.0,2.0,191
8,강릉 경포대,1.0,5.0,11.0,80.0,233.0,8.0,143.0,8.0,55.0,0.0,1513
9,강릉 선교장,1.0,5.0,20.0,170.0,50.0,5.0,118.0,4.0,53.0,0.0,951
10,강성서원,0.0,0.0,17.0,6.0,0.0,0.0,4.0,0.0,2.0,0.0,3
11,강원감영,17.0,3.0,20.0,240.0,84.0,212.0,285.0,54.0,237.0,48.0,249
12,강진영랑생가,2.0,1.0,12.0,240.0,16.0,33.0,214.0,5.0,35.0,3.0,389
13,강천사,0.0,1.0,5.0,0.0,3.0,0.0,13.0,0.0,5.0,1.0,355
14,강화 고인돌 유적 ,0.0,0.0,0.0,21.0,6.0,1.0,18.0,0.0,2.0,2.0,288
15,강화 덕진진,0.0,0.0,20.0,28.0,15.0,0.0,59.0,0.0,14.0,6.0,204
16,강화 서도 중앙교회,0.0,0.0,0.0,7.0,11.0,0.0,3.0,0.0,2.0,2.0,0
17,강화고려궁지,7.0,3.0,0.0,240.0,16.0,34.0,285.0,11.0,82.0,0.0,469
18,강화초지진,0.0,0.0,20.0,60.0,20.0,2.0,119.0,2.0,17.0,7.0,405
