,place_name,tour_element,tour_element_name
0,읍내동 마애불상,음식점,0
1,읍내동 마애불상,카페,0
2,읍내동 마애불상,문화시설,0
3,읍내동 마애불상,숙박시설,0
4,읍내동 마애불상,대중교통,0
5,읍내동 마애불상,공원,0
6,읍내동 마애불상,정원,0
7,읍내동 마애불상,주차시설,0
8,읍내동 마애불상,술집,0
9,읍내동 마애불상,화장실,0
10,읍내동 마애불상,관광명소,0
11,읍내동 마애불상,쇼핑,0
12,경복궁,음식점,온천집
13,경복궁,음식점,모도우
14,경복궁,음식점,
15,경복궁,음식점,황생가칼국수
16,경복궁,음식점,서촌계단집
17,경복궁,음식점,칸다소바
18,경복궁,음식점,체부동잔치집
19,경복궁,음식점,깡통만두
20,경복궁,음식점,토속촌
21,경복궁,음식점,꽃 밥에피다
22,경복궁,음식점,경춘자의라면땡기는날
23,경복궁,음식점,도마 유즈라멘
24,경복궁,음식점,단상
25,경복궁,음식점,오레노라멘 인사점
26,경복궁,음식점,도마
27,경복궁,음식점,남도분식 본점
28,경복궁,음식점,풍년쌀농산
29,경복궁,음식점,롤인익선
30,경복궁,음식점,긴자바이린 종로점
31,경복궁,음식점,반기다
32,경복궁,음식점,김진목삼 2호점
33,경복궁,음식점,
34,경복궁,음식점,호랑이카레
35,경복궁,음식점,락희옥 광화문지점
36,경복궁,음식점,공기식당
37,경복궁,음식점,효자동초밥
38,경복궁,음식점,양대창 창동
39,경복궁,음식점,키즈나
40,경복궁,음식점,할매집
41,경복궁,음식점,효자바베
42,경복궁,음식점,더삼겹185
43,경복궁,음식점,조선김밥
44,경복궁,음식점,멘타이코
45,경복궁,음식점,김진목삼
46,경복궁,음식점,스시호센
47,경복궁,음식점,익선반주
48,경복궁,음식점,853
49,경복궁,음식점,청수정
50,경복궁,음식점,라면점빵
51,경복궁,음식점,개성만두 궁
52,경복궁,음식점,
53,경복궁,음식점,봉평막국수
54,경복궁,음식점,큰기와집
55,경복궁,음식점,정선할매곤드레밥본점
56,경복궁,음식점,크레이지후라이 안녕인사동점
57,경복궁,음식점,한식공간
58,경복궁,음식점,호반
59,경복궁,음식점,발우공양
60,경복궁,음식점,먹쉬돈나 삼청동점
61,경복궁,음식점,서촌뜰애우
62,경복궁,음식점,도쿄등심 광화문점
63,경복궁,음식점,촌음식점
64,경복궁,음식점,미담헌
65,경복궁,음식점,두레유
66,경복궁,음식점,북촌김치재
67,경복궁,음식점,전대감댁
68,경복궁,음식점,온지음
