,place_name,공원,관광명소,교통,쇼핑,숙소,술집,음식점,주차시설,카페,화장실,review,상위%,,,,
0,달마사,20,1,26,183,16,166,262,26,183,42,87,51.71270718,,,,
1,사육신공원,23,3,24,183,38,171,242,54,180,41,299,25.85635359,,,,
2,사자암,30,0,57,183,105,171,242,58,180,47,33,67,,,,
3,효사정,23,0,32,225,25,170,245,31,183,59,83,52.59668508,,,,
4,국립서울현충원,21,1,28,240,18,226,285,56,237,58,1788,3.867403315,,,,
5,양녕대군 이제묘역,42,0,29,225,131,209,248,74,222,61,32,67.73480663,,,,
6,용양봉저정,21,3,35,189,34,157,242,26,180,50,18,73.8121547,,,,
,,,,,,,,,,,,2340,,,,,
,,,,,,,,,,,,334.2857143,23.5359116,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,상위 10%결과 평균,18,76,56,,,,
,,,교통,숙소,술집,,교통,숙소,술집,place_name,교통,숙소,술집,,,,
,,상위 10%결과,18.61111111,76,56.16666667,,26,16,166,달마사,26(1.3배),16(0.2배) ,166(2.9배) ,,,,
,,동작구결과,33,52,181,,24,38,171,사육신공원,24(1.2배),38(0.5배),171(3배),,,,
,,,,,,,57,105,171,사자암,57(3배),105(1.3배),171(3배),,,,
,,,,,,,32,25,170,효사정,32(1.7배),25(0.3배),170(3배),,,,
,,,,,,,28,18,226,국립서울현충원,28(1.5배),18(0.2배),226(4배),,,,
,,,,,,,29,131,209,양녕대군 이제묘역,29(1.5배),131(1.7배),209(3.7배),,,,
,,,교통,숙소,술집,,35,34,157,용양봉저정,35(1.8배),34(0.4배),157(2.7배),,,,
,,상위 10%결과,18.61111111,76,56.16666667,,,,,,,,,,,,
,,양녕대군+사자암,43,118,190,2.310447761,1.552631579,3.382789318,,,,,,,,,
,,사육신+용양+효사정,30.33333333,32.33333333,166,1.629850746,0.425438596,2.955489614,,,,,,,,,
,,달마사+현충원,27,17,196,1.450746269,0.223684211,3.489614243,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,교통,숙소,술집,,,,,,,,,,,,
,,상위 10%결과 평균,18,76,56,,,,,,,,,,,,
,,양녕대군+사자암,43(2.3배),118(1.5배),190(3.4배),2.3배,1.5배,3.4배,,,,,,,,,
,,사육신+용양+효사정,30(1.6배),32.3(0.4배),166(3배),1.6배,0.4배,3배,,,,,,,,,
,,달마사+현충원,27(1.4배),17(0.2배),196(3.5배),1.4배,0.2배,3.5배,,,,,,,,,
