,place_name,review
0,해동 용궁사,6667
1,부석사,2291
2,오어사,591
3,경주 동궁과 월지,5402
4,전주한옥마을 ,94
5,향일암(여수),6
6,경복궁,8744
7,만어사,2391
8,국채보상운동기념공원,692
9,서울 경교장,1116
10,행주산성,996
11,금산 보리암(남해),2450
12,파주 임진각,228
13,강릉 경포대,1513
14,경주 대릉원 일원,76
15,외암민속마을,112
16,사성암(구례),798
17,경주 불국사 ,5744
18,삼성산성지,82
19,보은 법주사,1293
20,동국사(군산),1441
21,북촌한옥마을,4488
22,순천 낙안읍성,2078
23,경주 첨성대,5517
24,미황사,500
25,안동 하회마을 ,2503
26,수원 화성,2157
27,오죽헌,3165
28,선운사(고창),21
29,월정사·월정사 전나무숲,1108
30,용연사(대구),65
31,낙산사,4280
32,공주 공산성 ,2065
33,담양 소쇄원,1720
34,덕수궁,4478
35,판문점,2078
36,한국민속촌,5261
37,청와대사랑채,1190
38,창덕궁과 후원 ,2391
39,고창읍성,1259
40,경주 양동마을 ,988
41,경주 교촌마을,767
42,양림역사문화마을,70
43,낙화암,420
44,선암사,1760
45,영주 무섬마을,1080
46,해인사,1944
47,부여 가림성,452
48,방화수류정(동북각루),1030
49,보문사,1677
50,강화 덕진진,204
51,월화원,666
52,경주 석굴암 ,309
53,창경궁,4331
54,간월암,349
55,강릉 선교장,951
56,천마총,456
57,해저터널,689
58,탄금대공원,90
59,농암종택,196
60,경주 문무대왕릉,1523
61,공주 송산리 고분군과 무령왕릉,454
62,백양사,71
63,도동서원,1305
64,청풍문화재단지,948
65,광한루원,2364
66,종묘 ,1463
67,군산 신흥동 일본식가옥,1702
68,경기전,535
69,성읍민속마을,918
70,경주 계림,361
71,광화문,2505
72,삼성궁,2079
73,만휴정,489
74,통도사,3777
75,여주 영릉,791
76,경희궁,750
77,내소사,4
78,서울 구 벨기에영사관,3
79,개심사,1696
80,대관령 황태덕장마을,35
81,천은사,84
82,설악산 권금성,0
83,익산 미륵사지,581
84,무량사,288
85,도라전망대,121
86,방조어부림,27
87,강화평화전망대,438
88,도산서원 ,1054
89,캠프 그리브스,110
90,빙계서원,21
91,국립서울현충원,1788
92,담양 명옥헌 원림,677
93,배론성지,398
94,DMZ 생태평화공원,40
95,영월 장릉,661
96,반구대암각화,0
97,연천 호로고루,299
98,대흥사,714
99,보성 벌교 홍교,60
100,강화 고인돌 유적 ,288
